job title,category,education requirement,experience years,required skills,salary range,skills_list,combined_text
software engineer,Technology,Bachelor's in Computer Science|Bachelor's in Engineering,2,Python|Java|C++|Git|Software Design|Problem Solving,80-150K,"['python', 'java', 'c++', 'git', 'software design', 'problem solving']",software engineer python java c git software design problem solving
full stack developer,Technology,Diploma in IT|Bachelor's in Computer Science,2,JavaScript|React|Node.js|HTML/CSS|Database|Git,75-140K,"['javascript', 'react', 'node.js', 'html', 'css', 'database', 'git']",full stack developer javascript react node js html css database git
frontend developer,Technology,Diploma in IT|Bachelor's in Computer Science,1,JavaScript|React|Vue.js|CSS|HTML|UI/UX Design,70-130K,"['javascript', 'react', 'vue.js', 'css', 'html', 'ui', 'ux design']",frontend developer javascript react vue js css html ui ux design
backend developer,Technology,Bachelor's in Computer Science,2,Python|Java|Node.js|Database Design|API Development|SQL,75-135K,"['python', 'java', 'node.js', 'database design', 'api development', 'sql']",backend developer python java node js database design api development sql
devops engineer,Technology,Bachelor's in Computer Science|IT Certification,3,Docker|Kubernetes|AWS|Linux|CI/CD|Scripting,85-150K,"['docker', 'kubernetes', 'aws', 'linux', 'ci', 'cd', 'scripting']",devops engineer docker kubernetes aws linux ci cd scripting
cloud architect,Technology,Bachelor's in Computer Science|Cloud Certification,5,AWS|Azure|GCP|System Design|Networking|Security,120-200K,"['aws', 'azure', 'gcp', 'system design', 'networking', 'security']",cloud architect aws azure gcp system design networking security
data scientist,Technology,Master's in Data Science|Bachelor's in Mathematics,2,Python|Machine Learning|Statistics|TensorFlow|SQL|Data Analysis,90-160K,"['python', 'machine learning', 'statistics', 'tensorflow', 'sql', 'data analysis']",data scientist python machine learning statistics tensorflow sql data analysis
machine learning engineer,Technology,Master's in Computer Science|Master's in AI,3,Python|TensorFlow|PyTorch|Deep Learning|Statistics|Research,100-180K,"['python', 'tensorflow', 'pytorch', 'deep learning', 'statistics', 'research']",machine learning engineer python tensorflow pytorch deep learning statistics research
data engineer,Technology,Bachelor's in Computer Science,2,Python|Spark|Hadoop|SQL|Data Warehousing|ETL,85-155K,"['python', 'spark', 'hadoop', 'sql', 'data warehousing', 'etl']",data engineer python spark hadoop sql data warehousing etl
database administrator,Technology,Bachelor's in IT|IT Certification,2,SQL|MongoDB|Database Optimization|Linux|Backup Recovery|Security,70-130K,"['sql', 'mongodb', 'database optimization', 'linux', 'backup recovery', 'security']",database administrator sql mongodb database optimization linux backup recovery security
systems administrator,Technology,Bachelor's in IT|IT Certification,2,Windows Server|Linux|Networking|Security|Active Directory|Troubleshooting,65-125K,"['windows server', 'linux', 'networking', 'security', 'active directory', 'troubleshooting']",systems administrator windows server linux networking security active directory troubleshooting
network engineer,Technology,Bachelor's in IT|Networking Certification,2,Cisco|Networking|TCP/IP|Security|Routing|Configuration,70-130K,"['cisco', 'networking', 'tcp', 'ip', 'security', 'routing', 'configuration']",network engineer cisco networking tcp ip security routing configuration
cybersecurity specialist,Technology,Bachelor's in Cybersecurity|Security Certification,3,Penetration Testing|Security Protocols|Networking|Risk Analysis|Encryption|Firewalls,85-150K,"['penetration testing', 'security protocols', 'networking', 'risk analysis', 'encryption', 'firewalls']",cybersecurity specialist penetration testing security protocols networking risk analysis encryption firewalls
security engineer,Technology,Bachelor's in Computer Science|Security Certification,3,Security Architecture|Encryption|Networking|Linux|Risk Management|Compliance,90-160K,"['security architecture', 'encryption', 'networking', 'linux', 'risk management', 'compliance']",security engineer security architecture encryption networking linux risk management compliance
mobile developer android,Technology,Bachelor's in Computer Science,2,Java|Kotlin|Android SDK|XML|REST API|Mobile Design,70-130K,"['java', 'kotlin', 'android sdk', 'xml', 'rest api', 'mobile design']",mobile developer android java kotlin android sdk xml rest api mobile design
mobile developer ios,Technology,Bachelor's in Computer Science,2,Swift|Objective-C|iOS SDK|Xcode|REST API|Mobile Design,75-135K,"['swift', 'objective-c', 'ios sdk', 'xcode', 'rest api', 'mobile design']",mobile developer ios swift objective c ios sdk xcode rest api mobile design
game developer,Technology,Bachelor's in Game Development|Bachelor's in Computer Science,2,Unity|Unreal Engine|C#|C++|Game Physics|Graphics Programming,65-130K,"['unity', 'unreal engine', 'c#', 'c++', 'game physics', 'graphics programming']",game developer unity unreal engine c c game physics graphics programming
qa engineer,Technology,Bachelor's in IT|QA Certification,1,Test Automation|Selenium|Manual Testing|Bug Tracking|SQL|API Testing,50-100K,"['test automation', 'selenium', 'manual testing', 'bug tracking', 'sql', 'api testing']",qa engineer test automation selenium manual testing bug tracking sql api testing
software architect,Technology,Master's in Computer Science,7,System Design|Architecture Patterns|Microservices|Scalability|Leadership|Multiple Languages,130-200K,"['system design', 'architecture patterns', 'microservices', 'scalability', 'leadership', 'multiple languages']",software architect system design architecture patterns microservices scalability leadership multiple languages
